ID,Gender,FTE,Emp Type,Department,Branch,Salary,Leave Balance,Date of Join,Date of Birth,Tenure,Tenure Group,Age
EMP20097,MALE  ,1,Fixed Term,Gamma,App Design,"$109,270 ",2,1-Aug-22,9-Jan-93,3.79,4. 2 or more years.,33.37
EMP8941,FEMALE,1,Permanent,Gamma,App Design,"$105,085 ",-1,26-Apr-22,4-Jan-68,4.06,4. 2 or more years.,58.41
EMP3899,FEMALE,1,Permanent,Alpha,Recipe Makers,"$84,540 ",23,2-Sep-21,25-Feb-82,4.71,4. 2 or more years.,44.25
EMP16397,FEMALE,1,Permanent,Gamma,Powders,"$82,635 ",16,4-Jul-22,12-Sep-70,3.87,4. 2 or more years.,55.72
EMP14383,FEMALE,1,Permanent,Zeta,Services,"$71,965 ",11,21-Jun-22,3-Sep-93,3.91,4. 2 or more years.,32.72
EMP8688,MALE  ,1,Permanent,Beta,Legal,"$48,230 ",9,20-Apr-22,1-Dec-60,4.08,4. 2 or more years.,65.5
EMP21194,MALE  ,1,Permanent,Gamma,Cake Design,"$74,865 ",22,10-Aug-21,27-Mar-60,4.77,4. 2 or more years.,66.18
EMP3021,FEMALE,1,Permanent,Gamma,Chocolatiers,"$95,330 ",19,7-Jan-22,18-Dec-68,4.36,4. 2 or more years.,57.45
EMP17123,FEMALE,1,Permanent,Zeta,Service Quality Assurance,"$106,825 ",7,11-Jul-22,20-Sep-89,3.85,4. 2 or more years.,36.68
EMP1271,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$52,870 ",16,15-Mar-21,8-Dec-74,5.18,4. 2 or more years.,51.47
EMP3713,MALE  ,1,Permanent,Alpha,Chocolatiers,"$78,695 ",23,31-Aug-21,7-Aug-79,4.71,4. 2 or more years.,46.81
EMP7982,MALE  ,1,Permanent,Gamma,Chocolatiers,"$67,880 ",19,7-Apr-22,27-Jan-86,4.11,4. 2 or more years.,40.33
EMP19518,MALE  ,1,Permanent,Gamma,Web Design,"$73,870 ",6,25-Jul-22,9-Oct-93,3.81,4. 2 or more years.,32.62
EMP23140,FEMALE,0.5,Permanent,Gamma,Web Design,"$75,700 ",18,19-Nov-21,28-Feb-86,4.49,4. 2 or more years.,40.24
EMP8660,MALE  ,1,Permanent,Epsilon,Buyer Support,"$58,785 ",17,20-Apr-22,20-Feb-74,4.08,4. 2 or more years.,52.27
EMP24219,MALE  ,1,Other,Gamma,Web Design,"$76,045 ",18,26-May-22,3-Nov-19,3.98,4. 2 or more years.,106.61
EMP6547,MALE  ,1,Permanent,Gamma,Chocolatiers,"$69,590 ",8,28-Feb-22,21-Apr-65,4.22,4. 2 or more years.,61.11
EMP25055,MALE  ,1,Other,Epsilon,Controlling,"$48,230 ",7,30-Jun-22,24-Dec-19,3.88,4. 2 or more years.,106.47
EMP10777,FEMALE,1,Permanent,Epsilon,Controlling,"$106,335 ",20,18-May-22,6-Feb-60,4,4. 2 or more years.,66.32
EMP10827,MALE  ,0,Other,Alpha,Plantation,"$54,550 ",10,1-Jun-22,22-Mar-96,3.96,4. 2 or more years.,30.17
EMP14849,MALE  ,0.75,Permanent,Alpha,Chocolatiers,"$62,720 ",13,24-Jun-22,20-Mar-77,3.9,4. 2 or more years.,49.19
EMP7992,MALE  ,1,Permanent,Alpha,Plantation,"$103,170 ",13,6-Apr-22,10-Sep-65,4.12,4. 2 or more years.,60.72
EMP1964,MALE  ,1,Permanent,Delta,Fruits & Vegetables,"$67,770 ",3,31-May-22,30-Jul-75,3.96,4. 2 or more years.,50.83
EMP1946,MALE  ,1,Permanent,Alpha,Chocolatiers,"$80,865 ",12,19-Apr-21,5-Nov-75,5.08,4. 2 or more years.,50.56
EMP21595,FEMALE,1,Permanent,Zeta,Service Quality Assurance,"$75,320 ",13,14-Feb-22,12-Aug-91,4.25,4. 2 or more years.,34.79
EMP8443,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$82,070 ",19,14-Apr-22,2-Jul-88,4.09,4. 2 or more years.,37.9
EMP17352,MALE  ,1,Permanent,Gamma,Web Design,"$81,905 ",4,14-Jul-22,26-Oct-77,3.84,4. 2 or more years.,48.59
EMP16533,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$68,525 ",11,8-Jul-22,18-Nov-19,3.86,4. 2 or more years.,106.57
EMP2719,MALE  ,1,Permanent,Gamma,Chocolatiers,"$82,140 ",15,14-Jun-21,15-Oct-58,4.93,4. 2 or more years.,67.63
EMP10207,MALE  ,1,Permanent,Zeta,Accounts Payable,"$84,175 ",5,13-May-22,12-Nov-72,4.01,4. 2 or more years.,53.55
EMP12181,FEMALE,1,Permanent,Zeta,Accounts Payable,"$69,150 ",20,30-May-22,10-Aug-90,3.97,4. 2 or more years.,35.79
EMP727,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$56,625 ",7,19-Jan-22,20-Dec-65,4.33,4. 2 or more years.,60.45
EMP25810,MALE  ,1,Other,Delta,Fruits & Vegetables,"$70,195 ",20,13-Jul-22,12-Nov-19,3.85,4. 2 or more years.,106.58
EMP19884,MALE  ,1,Permanent,Gamma,Web Design,"$84,745 ",13,28-Jul-22,29-Oct-91,3.81,4. 2 or more years.,34.57
EMP4736,FEMALE,1,Permanent,Delta,Plantation,"$62,525 ",12,25-Nov-21,10-Nov-54,4.48,4. 2 or more years.,71.56
EMP11291,FEMALE,1,Permanent,Gamma,Chocolatiers,"$78,185 ",8,20-May-22,24-Aug-88,3.99,4. 2 or more years.,37.75
EMP19508,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$101,385 ",12,25-Jul-22,9-May-64,3.81,4. 2 or more years.,62.06
EMP3290,MALE  ,1,Permanent,Alpha,Chocolatiers,"$48,230 ",21,6-Aug-21,8-Apr-72,4.78,4. 2 or more years.,54.14
EMP16455,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$55,920 ",14,13-Jun-22,28-Dec-19,3.93,4. 2 or more years.,106.46
EMP26935,FEMALE,0.79,Permanent,Gamma,App Design,"$74,865 ",13,20-Jan-22,27-Feb-77,4.32,4. 2 or more years.,49.25
EMP16000,MALE  ,1,Fixed Term,Zeta,Services,"$69,470 ",20,30-Jun-22,30-Sep-60,3.88,4. 2 or more years.,65.67
EMP23361,MALE  ,1,Permanent,Zeta,Accounts Payable,"$48,230 ",18,31-Dec-21,14-Jun-90,4.38,4. 2 or more years.,35.95
EMP19042,MALE  ,1,Permanent,Gamma,Powders,"$97,230 ",16,25-Jul-22,6-Oct-95,3.81,4. 2 or more years.,30.63
EMP16623,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$58,845 ",18,16-Jun-22,12-Dec-19,3.92,4. 2 or more years.,106.5
EMP12951,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$86,590 ",1,6-Jun-22,13-Nov-19,3.95,4. 2 or more years.,106.58
EMP22763,MALE  ,1,Permanent,Gamma,Web Design,"$61,610 ",22,12-Aug-21,2-Sep-59,4.76,4. 2 or more years.,66.75
EMP8986,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$86,820 ",7,27-Apr-22,11-Jul-92,4.06,4. 2 or more years.,33.87
EMP16541,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$48,260 ",15,6-Jul-22,2-Dec-19,3.87,4. 2 or more years.,106.53
EMP8691,FEMALE,1,Permanent,Gamma,Chocolatiers,"$67,675 ",20,18-Apr-22,26-Feb-60,4.08,4. 2 or more years.,66.27
EMP16630,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$69,055 ",9,22-Jun-22,28-Nov-19,3.9,4. 2 or more years.,106.54
EMP26759,MALE  ,1,Other,Alpha,Recipe Makers,"$83,605 ",21,1-Aug-22,12-Dec-19,3.79,4. 2 or more years.,106.5
EMP12675,FEMALE,1,Permanent,Beta,Employee Relations,"$68,905 ",23,7-Jun-22,25-Jul-92,3.95,4. 2 or more years.,33.83
EMP26223,MALE  ,1,Other,Delta,Fruits & Vegetables,"$74,990 ",20,22-Jul-22,12-Dec-19,3.82,4. 2 or more years.,106.5
EMP25398,FEMALE,1,Other,Alpha,Cocoa Sales,"$83,150 ",22,7-Jul-22,26-Dec-19,3.86,4. 2 or more years.,106.46
EMP21764,FEMALE,1,Permanent,Beta,Stragegic Performance,"$84,315 ",-1,1-Oct-18,9-Aug-58,7.63,4. 2 or more years.,67.82
EMP5624,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$65,260 ",9,7-Jan-22,12-Apr-84,4.36,4. 2 or more years.,42.12
EMP16835,FEMALE,0.53,Permanent,Gamma,Chocolatiers,"$113,625 ",8,7-Jul-22,24-Jan-63,3.86,4. 2 or more years.,63.35
EMP10343,MALE  ,1,Permanent,Gamma,Powders,"$92,105 ",20,16-May-22,2-Dec-71,4.01,4. 2 or more years.,54.49
EMP21228,FEMALE,1,Permanent,Gamma,Cake Design,"$53,310 ",17,16-Aug-21,18-Oct-86,4.75,4. 2 or more years.,39.61
EMP5818,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$57,680 ",23,2-Feb-22,12-Dec-83,4.29,4. 2 or more years.,42.46
EMP8961,FEMALE,1,Permanent,Gamma,Web Design,"$71,010 ",8,25-Apr-22,5-Nov-74,4.06,4. 2 or more years.,51.56
EMP1328,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$62,445 ",19,23-Jun-20,7-Nov-69,5.9,4. 2 or more years.,56.56
EMP8316,MALE  ,0.63,Permanent,Zeta,Accounts Payable,"$81,290 ",8,12-Apr-22,18-Dec-80,4.1,4. 2 or more years.,45.44
EMP24756,FEMALE,1,Other,Gamma,Cake Design,"$67,755 ",10,28-Jun-22,6-Dec-19,3.89,4. 2 or more years.,106.52
EMP14516,MALE  ,1,Permanent,Beta,Onboarding,"$88,000 ",14,21-Jun-22,29-Jun-64,3.91,4. 2 or more years.,61.92
EMP3276,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$111,500 ",19,4-Aug-21,20-Nov-73,4.79,4. 2 or more years.,52.52
EMP6383,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$48,230 ",9,3-May-22,3-Aug-78,4.04,4. 2 or more years.,47.82
EMP15698,MALE  ,1,Permanent,Gamma,Chocolatiers,"$48,230 ",8,30-Jun-22,30-Sep-90,3.88,4. 2 or more years.,35.65
EMP19284,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$86,805 ",12,21-Jul-22,19-Jun-91,3.82,4. 2 or more years.,34.93
EMP4617,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$61,750 ",28,18-Nov-21,26-Nov-83,4.5,4. 2 or more years.,42.5
EMP11158,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$74,830 ",16,20-May-22,7-May-86,3.99,4. 2 or more years.,40.05
EMP11450,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$81,790 ",19,10-May-22,20-Dec-19,4.02,4. 2 or more years.,106.48
EMP956,MALE  ,1,Permanent,Alpha,Recipe Makers,"$63,690 ",11,15-Jan-21,1-Jul-70,5.34,4. 2 or more years.,55.92
EMP13424,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$89,140 ",20,13-Jun-22,9-Jan-68,3.93,4. 2 or more years.,58.39
EMP19617,MALE  ,1,Permanent,Delta,Fruits & Vegetables,"$56,125 ",23,28-Jul-22,27-Oct-58,3.81,4. 2 or more years.,67.6
EMP4040,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$55,645 ",18,13-Sep-21,7-Nov-83,4.68,4. 2 or more years.,42.55
EMP3305,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$75,030 ",19,6-Aug-21,27-Sep-87,4.78,4. 2 or more years.,38.66
EMP7503,MALE  ,1,Permanent,Beta,Training and Empowerment,"$62,275 ",10,24-Mar-22,16-Oct-72,4.15,4. 2 or more years.,53.62
EMP16618,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$96,245 ",17,17-Jun-22,6-Dec-19,3.92,4. 2 or more years.,106.52
EMP25103,MALE  ,1,Other,Delta,Plantation,"$75,485 ",15,30-Jun-22,20-Dec-19,3.88,4. 2 or more years.,106.48
EMP26432,FEMALE,1,Other,Eta,Networking,"$78,340 ",7,26-Jul-22,14-Dec-19,3.81,4. 2 or more years.,106.5
EMP11871,MALE  ,1,Permanent,Gamma,App Design,"$95,335 ",6,27-May-22,1-Aug-83,3.98,4. 2 or more years.,42.82
EMP22026,MALE  ,1,Permanent,Gamma,Web Design,"$68,705 ",9,9-Oct-20,5-Feb-70,5.61,4. 2 or more years.,56.32
EMP20837,MALE  ,1,Permanent,Gamma,Cake Design,"$88,170 ",17,17-Mar-20,17-Apr-74,6.17,4. 2 or more years.,52.12
EMP21534,MALE  ,1,Permanent,Gamma,Chocolatiers,"$80,790 ",23,10-Jan-22,10-Jun-89,4.35,4. 2 or more years.,36.96
EMP20074,FEMALE,1,Fixed Term,Alpha,Cocoa Sales,"$55,745 ",8,21-Jul-22,14-Dec-19,3.82,4. 2 or more years.,106.5
EMP15847,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$90,300 ",8,30-Jun-22,11-Jun-84,3.88,4. 2 or more years.,41.96
EMP24284,FEMALE,1,Other,Epsilon,Controlling,"$64,040 ",14,6-Jun-22,24-Nov-19,3.95,4. 2 or more years.,106.55
EMP19786,FEMALE,1,Permanent,Epsilon,Financial Strategy,"$94,915 ",19,26-Jul-22,12-Feb-74,3.81,4. 2 or more years.,52.29
EMP22617,FEMALE,0.8,Permanent,Delta,South American Support Group,"$95,325 ",5,12-Jul-21,21-May-76,4.85,4. 2 or more years.,50.02
EMP11985,FEMALE,1,Permanent,Alpha,Plantation,"$92,380 ",19,30-May-22,11-Jul-82,3.97,4. 2 or more years.,43.88
EMP2505,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$84,045 ",17,31-May-21,16-Dec-60,4.96,4. 2 or more years.,65.46
EMP9148,FEMALE,1,Permanent,Delta,Packaging,"$76,125 ",24,2-May-22,3-Mar-91,4.04,4. 2 or more years.,35.23
EMP274,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$66,285 ",10,11-Jan-21,24-Nov-64,5.35,4. 2 or more years.,61.52
EMP15407,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$77,415 ",9,27-Jun-22,27-Jul-90,3.89,4. 2 or more years.,35.83
EMP25295,MALE  ,1,Other,Beta,Legal,"$71,505 ",17,4-Jul-22,19-Dec-19,3.87,4. 2 or more years.,106.48
EMP19571,FEMALE,1,Permanent,Zeta,Accounting,"$70,545 ",18,26-Jul-22,5-Aug-81,3.81,4. 2 or more years.,44.81
EMP10833,FEMALE,1,Permanent,Alpha,Chocolatiers,"$48,230 ",12,20-May-22,16-Jan-59,3.99,4. 2 or more years.,67.38
EMP21025,FEMALE,1,Permanent,Gamma,Cake Design,"$48,230 ",15,17-May-22,31-May-78,4,4. 2 or more years.,47.99
EMP8280,MALE  ,1,Permanent,Delta,Plantation,"$55,845 ",6,11-Apr-22,30-Oct-91,4.1,4. 2 or more years.,34.57
EMP16779,FEMALE,1,Permanent,Zeta,Accounts Payable,"$73,345 ",6,11-Jul-22,9-May-89,3.85,4. 2 or more years.,37.05
EMP23717,FEMALE,1,Permanent,Gamma,Web Design,"$69,765 ",15,25-Feb-22,19-Feb-60,4.22,4. 2 or more years.,66.28
EMP15165,MALE  ,1,Permanent,Gamma,Web Design,"$90,780 ",21,24-Jun-22,3-Dec-67,3.9,4. 2 or more years.,58.49
EMP2066,FEMALE,0.88,Permanent,Gamma,Chocolatiers,"$67,170 ",20,28-Apr-21,1-Sep-76,5.05,4. 2 or more years.,49.74
EMP16646,FEMALE,1,Permanent,Delta,Fruits & Vegetables,"$55,885 ",7,11-Jul-22,22-Jun-74,3.85,4. 2 or more years.,51.94
EMP26331,FEMALE,1,Other,Alpha,Cocoa Sales,"$87,720 ",3,26-Jul-22,7-Dec-19,3.81,4. 2 or more years.,106.52
EMP11270,MALE  ,1,Permanent,Alpha,Cocoa Sales,"$66,890 ",6,20-May-22,15-Jun-93,3.99,4. 2 or more years.,32.94
EMP14779,MALE  ,1,Permanent,Beta,Onboarding,"$93,015 ",6,27-Jun-22,20-Jan-78,3.89,4. 2 or more years.,48.35
EMP332,FEMALE,1,Permanent,Alpha,Chocolatiers,"$77,640 ",13,27-Aug-18,4-Mar-58,7.73,4. 2 or more years.,68.25
EMP24369,MALE  ,1,Other,Beta,Legal,"$87,030 ",15,13-Jun-22,12-Nov-19,3.93,4. 2 or more years.,106.58
EMP18627,MALE  ,1,Permanent,Gamma,Chocolatiers,"$94,420 ",16,21-Jul-22,19-Oct-65,3.82,4. 2 or more years.,60.62
EMP5921,FEMALE,1,Permanent,Alpha,Chocolatiers,"$87,530 ",16,7-Feb-22,3-Jul-88,4.27,4. 2 or more years.,37.9
EMP16765,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$73,920 ",5,7-Jul-22,10-Sep-89,3.86,4. 2 or more years.,36.71
EMP7533,MALE  ,1,Fixed Term,Alpha,Cocoa Sales,"$83,295 ",6,28-Mar-22,29-Feb-72,4.14,4. 2 or more years.,54.25
EMP18120,FEMALE,1,Permanent,Alpha,Cocoa Sales,"$83,865 ",10,18-Jul-22,18-Jul-90,3.83,4. 2 or more years.,35.85
EMP18936,FEMALE,0,Other,Zeta,Accounts Payable,"$92,655 ",23,22-Jul-22,22-Sep-87,3.82,4. 2 or more years.,38.68
